date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:00:41	377/377	---M--	200	added ('OK')	text/plain	date:Sat,%2029%20Oct%202022%2010:31:32%20GMT	https://www.practiceshraddha.com/robots.txt		(from )
16:00:42	1096256/1096256	---MCZ	200	added ('OK')	text/html	etag:W/%226a0f1fc0cffbd210363b0c7fbb1586b0%22	https://www.practiceshraddha.com/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day10/Web47/Site47/www.practiceshraddha.com/index.html	(from )
16:00:42	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day10/Web47/Site47/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.practiceshraddha.com/)
16:00:42	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day10/Web47/Site47/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.practiceshraddha.com/)
16:00:42	1721/1721	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Oct%202022%2010:31:33%20GMT	https://static.wixstatic.com/media/6dd698_9a0e5ed11d824c25874326e4f7f09550~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/6dd698_9a0e5ed11d824c25874326e4f7f09550~mv2.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day10/Web47/Site47/static.wixstatic.com/media/6dd698_9a0e5ed11d824c25874326e4f7f09550_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/6dd698_9a0e5ed11d824c25874326e4f7f09550_mv2	(from https://www.practiceshraddha.com/)
16:00:43	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2026%20Oct%202022%2016:31:52%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day10/Web47/Site47/polyfill.io/v3/polyfill.mind82c.js	(from https://www.practiceshraddha.com/)
16:00:43	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day10/Web47/Site47/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.practiceshraddha.com/)
16:00:44	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:31:35%20GMT	https://www.practiceshraddha.com/decodeURIComponent(e	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day10/Web47/Site47/www.practiceshraddha.com/decodeURIComponent(e	(from https://www.practiceshraddha.com/)
16:00:45	611/611	---M--	200	added ('OK')	text/xml	date:Sat,%2029%20Oct%202022%2010:31:36%20GMT	https://www.practiceshraddha.com/sitemap.xml	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day10/Web47/Site47/www.practiceshraddha.com/sitemap.xml	(from https://www.practiceshraddha.com/)
16:00:45	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:31:36%20GMT	https://www.practiceshraddha.com/feed.xml	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day10/Web47/Site47/www.practiceshraddha.com/feed.xml	(from https://www.practiceshraddha.com/)
